book_img,book_title,book_price,book_score,book_page,book_genre,color,atmosphere,art_reputation,keyword
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791130698267.jpg,울지 않는 열다섯은 없다,"11,700",10.0,650,chung,"['Beige', 'Purple']","['mysterious', 'calm', 'dreamlike']",383,"['가정', '소년', '학교']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791160947298.jpg,학교 안에서,"10,800",10.0,600,chung,"['Beige', 'Purple']","['mysterious', 'calm', 'dreamlike']",391,"['학교', '폭탄', '경찰청']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190337496.jpg,"열다섯, 그럴 나이","13,500",9.86,750,chung,"['Beige', 'Brown']","['mysterious', 'dreamlike', 'emotional']",392,"['히어로', '언저리', '산산조각']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791198363503.jpg,아몬드(청소년),"15,120",9.75,840,chung,"['Black', 'Brown', 'Orange']","['mysterious', 'calm', 'emotional']",423,"['윤재', '아몬드', '괴물']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791168127630.jpg,비스킷,"13,320",9.59,740,chung,"['Beige', 'Black', 'Orange']","['mysterious', 'warm', 'dreamlike']",412,"['소외', '청소년', '심사']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791192603162.jpg,기억을 넘어 너에게 갈게,"11,700",10.0,650,chung,"['Beige', 'Brown', 'Purple']","['mysterious', 'warm', 'emotional']",410,"['기억', '주최', '콘텐츠']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791156336297.jpg,이 아이를 삭제할까요?,"12,600",9.9,700,chung,"['Beige', 'Purple']","['mysterious', 'warm', 'emotional']",397,"['마을', '파랑', '나라']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788949123363.jpg,밀레니얼 칠드런,"11,700",9.4,650,chung,"['Beige', 'Purple']","['mysterious', 'calm', 'luxurious']",401,"['새벽', '학교', '자식']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954613873.jpg,불량 가족 레시피,"11,250",9.11,620,chung,"['Yellow', 'Brown', 'Orange']","['mysterious', 'dreamlike', 'emotional']",392,"['여울', '가족', '불량']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791171712830.jpg,좋아한다는 거짓말,"12,600",10.0,700,chung,"['Beige', 'Purple']","['warm', 'dreamlike', 'fresh']",392,"['마음', '사랑', '반지']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954675314.jpg,행운이 너에게 다가오는 중,"11,250",9.81,620,chung,"['Beige', 'White', 'Pink']","['calm', 'warm', 'dreamlike']",400,"['행운', '인생', '청소년']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191826029.jpg,소희의 방,"12,150",9.83,670,chung,"['Beige', 'Black', 'Brown']","['calm', 'luxurious', 'dreamlike']",391,"['소희', '하늘말나리', '청소년']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936458584.jpg,옥수수 뺑소니,"9,000",10.0,500,chung,"['Beige', 'Black', 'Orange']","['mysterious', 'dreamlike', 'fresh']",399,"['옥수수', '소설', '관객']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791167550804.jpg,블랙박스,"12,600",9.91,700,chung,"['White', 'Beige', 'Purple']","['calm', 'dreamlike', 'emotional']",406,"['영상', '블랙박스', '소비']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791167031334.jpg,겨울 기린을 보러 갔어,"13,320",10.0,740,chung,"['Beige', 'Brown', 'Green']","['mysterious', 'dreamlike', 'emotional']",372,"['송이', '엄마', '기린']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791170611837.jpg,오늘은 오늘의 하루,"12,420",9.81,690,chung,"['Beige', 'Brown', 'White']","['warm', 'emotional', 'fresh']",411,"['오늘', '청소년', '하루']"
